,Neighborhood,Price($),Style,Sq. Ft.,Fire?
1939,CollgCr,200000,1 Story,1700,No
1940,NWAmes,184000,1 Story,1707,Yes
1941,Blueste,151000,2 Story,1556,Yes
1942,OldTown,109500,1 Story,1068,Yes
1943,SawyerW,143000,1 Story,923,Yes
1944,Edwards,119900,1 Story,1176,No
1945,SawyerW,107000,1 Story,1056,No
1946,SWISU,160000,2 Story,1928,No
1947,Timber,269500,2 Story,1968,Yes
1948,Sawyer,137000,1 Story,935,No
1949,BrkSide,115000,1 Story,995,No
1950,CollgCr,163000,1 Story,1558,No
1951,NAmes,154000,1 Story,1246,No
1952,ClearCr,145000,1 Story,1721,Yes
1953,Edwards,125000,1 Story,1482,Yes
1954,Blmngtn,226500,1 Story,1589,Yes
1955,CollgCr,275000,1 Story,1787,Yes
1956,Veenker,255000,1 Story,2362,Yes
1957,OldTown,184000,2 Story,2495,Yes
1958,NAmes,120000,1 Story,864,No
1959,StoneBr,212000,1 Story,1502,No
1960,Edwards,102000,1 Story,1220,No
1961,NAmes,129900,1 Story,816,No
1962,NAmes,150000,Other,1588,No
1963,Edwards,95000,Other,1111,No
1964,Edwards,60000,1 Story,1276,No
1965,Somerst,234500,1 Story,1553,No
1966,CollgCr,193879,1 Story,1294,Yes
1967,CollgCr,274300,2 Story,2097,Yes
1968,NridgHt,367294,1 Story,1702,Yes
1969,OldTown,135000,2 Story,1389,Yes
1970,Crawfor,195000,2 Story,1550,Yes
1971,NoRidge,330000,2 Story,2538,Yes
1972,CollgCr,123000,1 Story,894,No
1973,OldTown,163000,Other,1912,Yes
1974,Crawfor,235000,1 Story,1625,Yes
1975,CollgCr,212000,2 Story,1768,No
1976,CollgCr,124900,1 Story,780,No
1977,BrkSide,113000,Other,1048,Yes
1978,CollgCr,220000,1 Story,1604,Yes
1979,CollgCr,230000,1 Story,1654,No
1980,BrkSide,120000,Other,1158,Yes
1981,Sawyer,165000,Other,1774,Yes
1982,NAmes,116000,1 Story,910,No
1983,OldTown,119000,1 Story,804,Yes
1984,Mitchel,81500,1 Story,1600,No
1985,Gilbert,213000,2 Story,1986,Yes
1986,Edwards,145900,Other,2200,No
1987,OldTown,91300,1 Story,886,No
1988,CollgCr,210000,1 Story,1417,Yes
1989,OldTown,163000,Other,1768,Yes
1990,CollgCr,213000,2 Story,1932,Yes
1991,OldTown,156500,Other,1416,No
1992,OldTown,110000,1 Story,984,No
1993,SWISU,200000,Other,3395,No
1994,Somerst,221000,1 Story,1568,Yes
1995,NAmes,130000,Other,936,Yes
1996,Crawfor,375000,1 Story,1625,Yes
1997,Sawyer,116000,1 Story,909,No
1998,NAmes,153000,1 Story,1647,Yes
1999,NWAmes,190000,2 Story,1574,Yes
2000,NWAmes,212500,Other,1891,Yes
2001,Blmngtn,181000,1 Story,1504,Yes
2002,IDOTRR,202500,Other,2294,Yes
2003,OldTown,87500,2 Story,1510,No
2004,CollgCr,161750,2 Story,1392,No
2005,Somerst,222000,1 Story,1478,Yes
2006,Somerst,261329,1 Story,1584,Yes
2007,Mitchel,131000,1 Story,1224,Yes
2008,NAmes,123000,1 Story,1319,No
2009,BrkSide,85500,1 Story,869,No
2010,Sawyer,130500,2 Story,1479,No
2011,SawyerW,189000,1 Story,1434,Yes
2012,IDOTRR,139400,Other,1108,Yes
2013,OldTown,100000,Other,1245,No
2014,NPkVill,137500,1 Story,1055,No
2015,Edwards,127000,1 Story,1149,No
2016,NAmes,150000,1 Story,1244,Yes
2017,Mitchel,215000,Other,1368,No
2018,IDOTRR,70000,Other,892,No
2019,NAmes,145500,1 Story,1031,No
2020,NAmes,159950,Other,1086,Yes
2021,NWAmes,190000,1 Story,1844,Yes
2022,Edwards,91900,1 Story,784,No
2023,SawyerW,141000,1 Story,1080,No
2024,CollgCr,110000,1 Story,924,No
2025,OldTown,99500,1 Story,792,No
2026,OldTown,144100,Other,1650,No
2027,NAmes,126000,1 Story,1112,No
2028,Timber,174000,2 Story,1444,No
2029,Edwards,98500,1 Story,1195,No
2030,Edwards,82500,1 Story,861,No
2031,IDOTRR,72000,1 Story,672,No
2032,NridgHt,398800,2 Story,2690,Yes
2033,Somerst,172500,2 Story,1471,No
2034,Somerst,178000,1 Story,1245,No
2035,OldTown,80000,Other,1760,Yes
2036,Veenker,194000,Other,1432,Yes
2037,NAmes,155000,2 Story,1839,Yes
2038,ClearCr,190000,1 Story,1582,No
2039,Mitchel,160000,1 Story,1404,Yes
2040,Timber,170000,1 Story,1328,Yes
2041,SWISU,128000,Other,1340,No
2042,NAmes,127500,Other,1278,No
2043,CollgCr,136500,1 Story,864,No
2044,CollgCr,219500,2 Story,1928,Yes
2045,CollgCr,190550,2 Story,1690,No
2046,Somerst,275000,1 Story,1696,No
2047,Mitchel,129500,1 Story,845,No
2048,Crawfor,198000,Other,1938,Yes
2049,Crawfor,137500,1 Story,1180,Yes
2050,Sawyer,152400,Other,1350,No
2051,NWAmes,197900,2 Story,1935,Yes
2052,Mitchel,170000,1 Story,1389,Yes
2053,Blmngtn,194201,1 Story,1402,Yes
2054,BrkSide,112000,1 Story,808,No
2055,NAmes,133000,1 Story,1268,Yes
2056,OldTown,138000,Other,1544,No
2057,OldTown,95000,Other,1080,No
2058,Somerst,250000,2 Story,1992,Yes
2059,NAmes,150000,1 Story,1144,No
2060,Timber,202900,2 Story,1908,No
2061,Somerst,229456,1 Story,1314,No
2062,IDOTRR,50000,Other,1484,No
2063,Somerst,232000,1 Story,1616,No
2064,Edwards,320000,1 Story,1698,Yes
2065,SawyerW,147000,1 Story,1143,No
2066,NWAmes,140500,1 Story,1625,No
2067,IDOTRR,136000,2 Story,1536,No
2068,SawyerW,179900,1 Story,1442,Yes
2069,CollgCr,168675,2 Story,1491,Yes
2070,NAmes,125000,1 Story,1056,No
2071,NridgHt,300000,1 Story,1531,Yes
2072,Mitchel,135000,Other,1004,No
2073,Veenker,165000,1 Story,1208,Yes
2074,ClearCr,173000,1 Story,1291,Yes
2075,Somerst,177000,2 Story,1525,Yes
2076,OldTown,110000,1 Story,813,No
2077,Gilbert,173000,2 Story,1636,Yes
2078,NWAmes,82500,1 Story,1411,Yes
2079,NWAmes,170000,Other,1920,Yes
2080,NridgHt,234250,1 Story,1342,Yes
2081,Somerst,287090,1 Story,1578,Yes
2082,NAmes,224500,2 Story,2154,Yes
2083,NridgHt,374000,1 Story,1792,Yes
2084,Edwards,274970,Other,2201,Yes
2085,NridgHt,421250,2 Story,2649,Yes
2086,NridgHt,383000,1 Story,1950,Yes
2087,NAmes,105000,1 Story,896,No
2088,Blmngtn,219990,1 Story,1576,Yes
2089,Sawyer,112000,Other,1902,No
2090,NAmes,119000,1 Story,988,No
2091,OldTown,128500,Other,1281,No
2092,Sawyer,137250,1 Story,864,No
2093,OldTown,115500,1 Story,1093,No
2094,Mitchel,170000,1 Story,2048,No
2095,Crawfor,231000,2 Story,1512,Yes
2096,OldTown,106250,2 Story,1294,No
2097,SawyerW,301000,2 Story,2730,Yes
2098,Timber,228000,1 Story,1707,Yes
2099,OldTown,99900,1 Story,792,No
2100,NAmes,143000,Other,1144,Yes
2101,BrkSide,128000,Other,1324,No
2102,Edwards,83000,1 Story,835,No
2103,Sawyer,165000,1 Story,1383,Yes
2104,Gilbert,202000,2 Story,1776,Yes
2105,Mitchel,115000,1 Story,1771,Yes
2106,Gilbert,219500,2 Story,1995,Yes
2107,NridgHt,285000,2 Story,2374,Yes
2108,NAmes,129250,1 Story,988,No
2109,StoneBr,355000,2 Story,2500,Yes
2110,NAmes,153000,1 Story,1382,No
2111,CollgCr,143000,1 Story,848,No
2112,NAmes,145000,1 Story,1712,No
2113,Edwards,99600,Other,864,No
2114,NAmes,184000,2 Story,1479,No
2115,IDOTRR,110000,1 Story,816,No
2116,StoneBr,319900,1 Story,1612,Yes
2117,StoneBr,240000,1 Story,1478,No
2118,SWISU,91000,1 Story,790,No
2119,NAmes,167000,1 Story,1488,Yes
2120,SawyerW,193000,2 Story,1812,No
2121,OldTown,103000,1 Story,960,No
2122,NridgHt,200000,1 Story,1302,Yes
2123,IDOTRR,140000,1 Story,1073,No
2124,OldTown,125500,2 Story,1363,No
2125,BrDale,97000,2 Story,987,No
2126,NridgHt,418000,2 Story,2758,Yes
2127,Crawfor,259500,2 Story,2320,Yes
2128,Somerst,164700,2 Story,1250,No
2129,IDOTRR,125500,Other,1154,No
2130,NridgHt,220000,1 Story,1541,Yes
2131,Crawfor,289000,1 Story,1801,Yes
2132,Crawfor,138887,2 Story,1784,No
2133,SWISU,140000,Other,1595,Yes
2134,NAmes,140000,Other,1095,No
2135,Crawfor,359100,2 Story,3194,Yes
2136,Sawyer,142500,1 Story,894,Yes
2137,NAmes,125500,1 Story,864,No
2138,SawyerW,156500,Other,1338,Yes
2139,NAmes,144000,Other,1524,No
2140,BrkSide,127500,Other,1367,Yes
2141,IDOTRR,55993,1 Story,1044,No
2142,NoRidge,287500,2 Story,2197,Yes
2143,Sawyer,149350,1 Story,1228,No
2144,Edwards,229000,2 Story,2314,Yes
2145,NWAmes,152000,2 Story,1620,No
2146,SawyerW,220000,2 Story,2122,Yes
2147,Edwards,100000,1 Story,816,Yes
2148,Edwards,110000,1 Story,1088,No
2149,NAmes,133000,Other,767,No
2150,NAmes,109008,1 Story,907,No
2151,Crawfor,217500,1 Story,1647,Yes
2152,NWAmes,206000,2 Story,2067,Yes
2153,ClearCr,260000,1 Story,1524,Yes
2154,OldTown,161000,2 Story,1378,Yes
2155,Somerst,172900,2 Story,1549,No
2156,BrkSide,145000,Other,1505,No
2157,NAmes,123000,1 Story,864,No
2158,Somerst,182000,1 Story,1428,No
2159,MeadowV,91000,Other,988,No
2160,NPkVill,128500,1 Story,836,No
2161,StoneBr,375000,1 Story,2522,Yes
2162,CollgCr,232000,1 Story,1668,Yes
2163,NAmes,176000,Other,1382,Yes
2164,NAmes,168500,Other,1350,No
2165,OldTown,124000,2 Story,1750,No
2166,CollgCr,233555,1 Story,1846,Yes
2167,Somerst,170000,Other,1404,No
2168,OldTown,86000,1 Story,691,No
2169,Timber,248900,1 Story,1646,Yes
2170,NridgHt,300000,2 Story,2206,Yes
2171,OldTown,160000,2 Story,2007,No
2172,Blmngtn,225000,1 Story,1548,Yes
2173,StoneBr,189000,1 Story,1228,Yes
2174,Somerst,208900,1 Story,1352,Yes
2175,Gilbert,259000,1 Story,1530,Yes
2176,OldTown,105000,1 Story,864,No
2177,Sawyer,132500,1 Story,970,No
2178,BrkSide,90000,Other,1316,No
2179,NAmes,93500,1 Story,1040,No
2180,IDOTRR,115000,Other,1396,No
2181,NAmes,105000,1 Story,864,No
2182,NAmes,138500,1 Story,1052,No
2183,Edwards,134500,2 Story,1269,No
2184,Sawyer,130000,1 Story,894,No
2185,MeadowV,106500,Other,992,No
2186,CollgCr,212000,2 Story,1661,Yes
2187,NWAmes,174000,1 Story,1682,Yes
2188,Crawfor,392500,1 Story,1652,Yes
2189,NAmes,138500,Other,908,No
2190,Edwards,118500,Other,936,Yes
2191,IDOTRR,103000,Other,1208,No
2192,Mitchel,183500,Other,1299,Yes
2193,Edwards,140000,Other,1072,No
2194,Mitchel,148000,Other,918,No
2195,Edwards,108000,1 Story,1126,No
2196,Somerst,180000,2 Story,1512,No
2197,NAmes,181000,1 Story,1337,No
2198,OldTown,62500,2 Story,2128,No
2199,SawyerW,190500,2 Story,1677,No
2200,NridgHt,404000,1 Story,2020,Yes
2201,BrkSide,119000,1 Story,949,Yes
2202,NAmes,142250,1 Story,1232,No
2203,SawyerW,194500,2 Story,1744,No
2204,OldTown,130000,2 Story,2350,No
2205,NAmes,167300,1 Story,1587,Yes
2206,MeadowV,129500,2 Story,1475,Yes
2207,Gilbert,179540,2 Story,1456,Yes
2208,MeadowV,75500,Other,630,No
2209,BrDale,105500,2 Story,1092,No
2210,BrkSide,110000,Other,1203,Yes
2211,NoRidge,285000,2 Story,2225,Yes
2212,Gilbert,183500,1 Story,1169,Yes
2213,NWAmes,226500,1 Story,1688,Yes
2214,NoRidge,286000,2 Story,1976,Yes
2215,NoRidge,410000,2 Story,3078,Yes
2216,NAmes,157000,1 Story,1253,Yes
2217,Edwards,80000,Other,924,No
2218,OldTown,125000,1 Story,1078,No
2219,Timber,228950,Other,1786,Yes
2220,BrkSide,132000,Other,1453,Yes
2221,NWAmes,146500,1 Story,1193,No
2222,NWAmes,181000,1 Story,1309,Yes
2223,NridgHt,269500,1 Story,1760,Yes
2224,NridgHt,290941,1 Story,1544,No
2225,NAmes,135000,Other,1495,No
2226,MeadowV,80000,Other,630,No
2227,Sawyer,148000,Other,1155,No
2228,BrkSide,209500,Other,2068,Yes
2229,NoRidge,350000,1 Story,2006,Yes
2230,NAmes,115000,1 Story,864,Yes
2231,Gilbert,250000,2 Story,2064,Yes
2232,Edwards,125000,1 Story,1032,Yes
2233,NridgHt,320000,1 Story,1884,Yes
2234,Crawfor,315000,1 Story,2726,Yes
2235,CollgCr,218836,1 Story,1564,No
2236,Somerst,254900,2 Story,1947,Yes
2237,Sawyer,130000,Other,999,No
2238,Somerst,214000,2 Story,1933,Yes
2239,Timber,305000,2 Story,2262,Yes
2240,Somerst,147110,2 Story,1080,No
2241,NAmes,145250,1 Story,1383,No
2242,OldTown,139000,Other,1566,No
2243,NAmes,110000,1 Story,1776,No
2244,CollgCr,230500,2 Story,2161,Yes
2245,Timber,378500,1 Story,2018,Yes
2246,CollgCr,225000,1 Story,1614,Yes
2247,Gilbert,180500,1 Story,1442,No
2248,NridgHt,316000,2 Story,2332,Yes
2249,NridgHt,446261,2 Story,2713,Yes
2250,BrDale,118000,2 Story,1218,No
2251,CollgCr,185500,1 Story,1414,No
2252,NridgHt,345000,2 Story,2324,Yes
2253,Blmngtn,195000,1 Story,1455,Yes
2254,Greens,213750,1 Story,1295,Yes
2255,NAmes,140000,1 Story,1136,Yes
2256,NAmes,177000,1 Story,1337,Yes
2257,Edwards,136500,Other,1480,Yes
2258,NWAmes,164500,1 Story,1334,No
2259,Somerst,263000,2 Story,2094,Yes
2260,NAmes,116900,1 Story,925,Yes
2261,NridgHt,184500,1 Story,1306,Yes
2262,CollgCr,143000,1 Story,990,No
2263,Timber,369900,1 Story,2028,Yes
2264,CollgCr,124000,1 Story,1040,No
2265,NridgHt,342000,2 Story,2956,Yes
2266,Edwards,109900,1 Story,1242,No
2267,Timber,137500,Other,1344,Yes
2268,Gilbert,222000,2 Story,2236,Yes
2269,NAmes,158000,Other,1445,Yes
2270,Edwards,155000,1 Story,1094,Yes
2271,NAmes,174500,Other,1576,Yes
2272,Somerst,200825,2 Story,1716,No
2273,Sawyer,135000,1 Story,1236,Yes
2274,NAmes,137000,1 Story,1043,Yes
2275,CollgCr,132500,Other,954,No
2276,NridgHt,219500,1 Story,1342,Yes
2277,CollgCr,248500,1 Story,1615,Yes
2278,NPkVill,137900,2 Story,1456,Yes
2279,Gilbert,190000,2 Story,1514,Yes
2280,Edwards,148000,Other,1072,No
2281,SawyerW,76000,Other,784,No
2282,Sawyer,145000,Other,960,No
2283,SawyerW,189000,2 Story,1657,No
2284,OldTown,64000,1 Story,840,No
2285,CollgCr,233230,2 Story,1919,Yes
2286,Sawyer,155000,1 Story,1803,Yes
2287,Somerst,226000,2 Story,1929,Yes
2288,Somerst,204500,1 Story,1218,No
2289,Gilbert,185101,2 Story,1492,No
2290,StoneBr,325000,2 Story,2504,Yes
2291,Somerst,187750,1 Story,1301,Yes
2292,BrkSide,128000,Other,1196,Yes
2293,NAmes,143500,1 Story,951,No
2294,CollgCr,318000,1 Story,1978,Yes
2295,ClearCr,148400,Other,1700,No
2296,NAmes,146000,1 Story,1200,No
2297,SWISU,169000,Other,2447,Yes
2298,CollgCr,213000,1 Story,1630,Yes
2299,Mitchel,124500,1 Story,887,No
2300,SawyerW,171500,2 Story,1730,No
2301,BrkSide,180500,2 Story,1824,Yes
2302,Crawfor,160000,Other,1308,Yes
2303,CollgCr,195000,2 Story,1948,Yes
2304,Sawyer,170000,1 Story,1779,Yes
2305,OldTown,97500,Other,1864,No
2306,OldTown,115000,Other,1224,No
2307,NAmes,159000,1 Story,1209,No
2308,Crawfor,104000,1 Story,1091,Yes
2309,Crawfor,381000,Other,3447,Yes
2310,NWAmes,215000,1 Story,1620,Yes
2311,CollgCr,221500,1 Story,1614,No
2312,OldTown,137000,2 Story,1928,No
2313,Veenker,217500,1 Story,1239,Yes
2314,NAmes,256000,1 Story,1567,Yes
2315,Somerst,271500,1 Story,1468,Yes
2316,SWISU,137000,Other,1551,No
2317,Gilbert,180000,2 Story,1714,Yes
2318,BrkSide,64500,1 Story,666,No
2319,CollgCr,204900,1 Story,1498,No
2320,SawyerW,142000,1 Story,1114,No
2321,OldTown,103500,2 Story,1944,No
2322,Sawyer,157500,Other,1096,Yes
2323,Edwards,139500,1 Story,1049,No
2324,IDOTRR,119000,Other,1200,No
2325,CollgCr,119900,1 Story,864,No
2326,Somerst,230348,1 Story,1218,No
2327,CollgCr,237000,2 Story,1995,Yes
2328,OldTown,113000,Other,1173,No
2329,Blueste,124000,2 Story,1229,Yes
2330,Greens,190000,1 Story,1226,Yes
2331,NridgHt,485000,2 Story,3140,Yes
2332,Blmngtn,160000,1 Story,1145,No
2333,SawyerW,153337,Other,1224,Yes
2334,NAmes,135000,1 Story,1008,No
2335,Sawyer,115400,1 Story,1005,No
2336,NoRidge,350000,2 Story,2726,Yes
2337,NAmes,109000,1 Story,1057,No
2338,NWAmes,205000,1 Story,1610,Yes
2339,OldTown,149000,2 Story,1352,No
2340,Timber,270000,1 Story,1629,Yes
2341,Veenker,162500,1 Story,1232,No
2342,Crawfor,311500,Other,1954,Yes
2343,NPkVill,123000,1 Story,1055,Yes
2344,NoRidge,190000,2 Story,1923,Yes
2345,SawyerW,187000,2 Story,1837,No
2346,Mitchel,134500,1 Story,845,No
2347,OldTown,145000,2 Story,1642,Yes
2348,Mitchel,136000,2 Story,1274,No
2349,Sawyer,135000,Other,1271,Yes
2350,NAmes,169000,1 Story,1797,Yes
2351,Sawyer,165000,1 Story,1458,Yes
2352,CollgCr,134900,1 Story,914,No
2353,NWAmes,172500,Other,1320,Yes
2354,NridgHt,412083,2 Story,2589,Yes
2355,NAmes,135000,1 Story,1216,No
2356,NoRidge,260000,2 Story,2646,Yes
2357,OldTown,64500,1 Story,968,No
2358,ClearCr,328000,2 Story,2260,No
2359,NoRidge,405000,2 Story,2855,Yes
2360,Gilbert,177900,1 Story,1384,No
2361,Edwards,103500,1 Story,1560,Yes
2362,Somerst,290000,1 Story,1419,Yes
2363,NAmes,128000,1 Story,1041,No
2364,Mitchel,161000,Other,1479,No
2365,NAmes,124000,1 Story,1074,Yes
2366,Timber,315500,1 Story,1620,Yes
2367,MeadowV,151400,2 Story,2521,Yes
2368,NAmes,141000,1 Story,1150,No
2369,CollgCr,272500,1 Story,1838,Yes
2370,CollgCr,203000,1 Story,1274,No
2371,NAmes,132000,1 Story,1364,Yes
2372,NAmes,252000,1 Story,1390,Yes
2373,NridgHt,245700,1 Story,1614,No
2374,Gilbert,204000,2 Story,2299,Yes
2375,OldTown,130000,Other,1316,No
2376,CollgCr,190000,1 Story,1500,No
2377,Timber,201000,1 Story,1466,No
2378,Sawyer,172500,2 Story,1683,Yes
2379,NridgHt,325000,1 Story,1652,Yes
2380,Edwards,198500,Other,1922,Yes
2381,Timber,184000,1 Story,1651,Yes
2382,Mitchel,149000,Other,883,Yes
2383,NAmes,122900,Other,924,Yes
2384,StoneBr,212000,1 Story,1321,Yes
2385,Edwards,105000,Other,1258,No
2386,Blmngtn,175900,1 Story,1569,Yes
2387,IDOTRR,78000,2 Story,1192,No
2388,Somerst,220000,2 Story,1874,Yes
2389,BrDale,119500,2 Story,1302,No
2390,NAmes,109500,1 Story,1040,No
2391,NoRidge,301500,1 Story,1987,Yes
2392,NWAmes,155000,1 Story,1103,No
2393,Mitchel,140000,1 Story,1360,Yes
2394,NAmes,134500,1 Story,1008,No
2395,Gilbert,170000,Other,1430,Yes
2396,SWISU,135900,2 Story,1716,No
2397,SawyerW,316600,Other,2132,Yes
2398,Sawyer,158000,2 Story,2654,Yes
2399,Gilbert,185000,2 Story,1934,Yes
2400,NAmes,135000,Other,1192,No
2401,BrkSide,81300,1 Story,808,No
2402,OldTown,97000,1 Story,882,No
2403,Somerst,193800,1 Story,1565,No
2404,IDOTRR,126000,1 Story,919,No
2405,Gilbert,201490,2 Story,1598,Yes
2406,NoRidge,248000,2 Story,2285,Yes
2407,BrDale,113700,2 Story,1218,No
2408,OldTown,129500,Other,1328,No
2409,NAmes,156000,1 Story,1073,No
2410,Somerst,174000,2 Story,1441,No
2411,Timber,213500,Other,1479,Yes
2412,ClearCr,225000,Other,2287,Yes
2413,SawyerW,226500,1 Story,1626,Yes
2414,OldTown,122600,Other,1323,No
2415,Timber,150000,1 Story,1495,Yes
2416,OldTown,111000,2 Story,1360,No
2417,MeadowV,93900,2 Story,1092,No
2418,Somerst,241000,2 Story,1550,No
2419,Sawyer,118500,1 Story,1029,No
2420,SWISU,60000,1 Story,438,No
2421,Greens,170000,1 Story,1226,Yes
2422,NAmes,148000,Other,1370,Yes
2423,BrkSide,89000,1 Story,616,No
2424,StoneBr,278000,1 Story,1659,Yes
2425,CollgCr,159000,Other,965,No
2426,NAmes,175000,1 Story,1691,No
2427,OldTown,128500,Other,1382,No
2428,SWISU,160000,2 Story,1479,Yes
2429,Crawfor,257500,1 Story,1839,Yes
2430,CollgCr,267000,2 Story,2452,Yes
2431,NAmes,108538,1 Story,1206,No
2432,SawyerW,128000,2 Story,1266,Yes
2433,IDOTRR,120000,Other,1090,No
2434,Sawyer,137000,1 Story,1176,Yes
2435,NAmes,135000,1 Story,925,No
2436,ClearCr,130000,Other,1352,No
2437,IDOTRR,212300,2 Story,1952,Yes
2438,OldTown,123500,2 Story,1902,No
2439,OldTown,137000,2 Story,1798,No
2440,NAmes,190000,1 Story,1888,Yes
2441,SawyerW,193500,1 Story,1679,Yes
2442,Sawyer,190000,Other,2620,Yes
2443,NAmes,244000,1 Story,2223,Yes
2444,Somerst,250000,1 Story,1530,Yes
2445,StoneBr,361919,2 Story,2576,Yes
2446,Blueste,137000,2 Story,1229,Yes
2447,NAmes,68000,1 Story,715,No
2448,NAmes,132500,Other,1190,No
2449,Gilbert,165600,2 Story,1501,Yes
2450,Gilbert,178750,2 Story,1553,No
2451,Sawyer,123000,1 Story,1040,No
2452,NAmes,119000,1 Story,1584,No
2453,NAmes,176500,1 Story,1414,Yes
2454,NWAmes,146900,2 Story,1308,No
2455,Sawyer,119900,1 Story,868,No
2456,Gilbert,187000,2 Story,1690,Yes
2457,OldTown,93000,Other,1387,No
2458,NAmes,301600,2 Story,3086,No
2459,NridgHt,213000,1 Story,1358,Yes
2460,NAmes,158000,Other,1141,No
2461,NridgHt,185850,1 Story,1364,Yes
2462,NridgHt,372397,1 Story,1792,Yes
2463,NAmes,137500,1 Story,1152,No
2464,NWAmes,183000,Other,1427,No
2465,Sawyer,112000,1 Story,1416,No
2466,NAmes,118500,Other,1216,No
2467,NWAmes,179900,2 Story,1416,Yes
2468,NridgHt,284000,1 Story,1629,Yes
2469,Gilbert,178000,2 Story,1571,Yes
2470,SWISU,157000,1 Story,1073,No
2471,Edwards,148000,1 Story,1113,Yes
2472,Edwards,141000,2 Story,2233,No
2473,Somerst,171900,2 Story,1250,No
2474,StoneBr,239000,2 Story,1767,Yes
2475,NAmes,156000,1 Story,1050,No
2476,BrkSide,93000,Other,1142,No
2477,SWISU,93369,2 Story,1884,No
2478,MeadowV,79400,2 Story,1092,No
2479,NAmes,147000,1 Story,1113,Yes
2480,Edwards,113000,Other,1487,Yes
2481,NAmes,140000,Other,1558,Yes
2482,NridgHt,275000,2 Story,1904,Yes
2483,CollgCr,255900,2 Story,2290,Yes
2484,Gilbert,287602,2 Story,2322,No
2485,Somerst,205950,2 Story,1665,No
2486,SWISU,175000,Other,1768,Yes
2487,Somerst,172500,2 Story,1739,No
2488,Mitchel,164000,1 Story,1216,No
2489,OldTown,87000,Other,840,Yes
2490,NoRidge,466500,1 Story,2633,Yes
2491,Gilbert,181755,2 Story,1496,No
2492,BrkSide,184000,Other,1820,No
2493,Edwards,142500,Other,1072,No
2494,NridgHt,611657,1 Story,2364,Yes
2495,StoneBr,130000,1 Story,1204,No
2496,CollgCr,179400,2 Story,1476,No
2497,NAmes,118900,1 Story,732,No
2498,Sawyer,95541,1 Story,1140,No
2499,NPkVill,138000,2 Story,1456,Yes
2500,NAmes,97500,1 Story,874,No
2501,Somerst,199000,1 Story,1504,No
2502,SWISU,139500,Other,1489,Yes
2503,MeadowV,119500,1 Story,945,Yes
2504,CollgCr,208900,1 Story,1493,Yes
2505,CollgCr,144000,1 Story,848,No
2506,MeadowV,85500,2 Story,1092,No
2507,NridgHt,335000,1 Story,1743,Yes
2508,CollgCr,212999,1 Story,1500,Yes
2509,Somerst,235000,2 Story,1811,Yes
2510,NoRidge,341000,2 Story,2418,Yes
2511,Mitchel,130000,1 Story,874,No
2512,OldTown,58500,1 Story,816,Yes
2513,NridgHt,350000,2 Story,2224,Yes
2514,Somerst,156000,2 Story,1452,No
2515,NAmes,178400,Other,999,No
2516,IDOTRR,119600,2 Story,1991,No
2517,Somerst,294323,2 Story,2318,Yes
2518,CollgCr,237000,2 Story,1829,Yes
2519,NridgHt,154000,2 Story,1626,No
2520,SWISU,118500,Other,2230,No
2521,Somerst,215000,1 Story,1534,Yes
2522,Sawyer,158000,2 Story,1352,No
2523,NridgHt,281500,2 Story,1818,Yes
2524,NWAmes,162900,2 Story,1664,Yes
2525,BrkSide,202500,2 Story,1827,Yes
2526,NAmes,174000,1 Story,1537,Yes
2527,NWAmes,185750,1 Story,1489,Yes
2528,OldTown,153900,Other,1416,Yes
2529,NWAmes,250000,2 Story,2784,Yes
2530,Gilbert,191000,2 Story,1636,Yes
2531,CollgCr,185900,2 Story,1582,No
2532,Crawfor,147500,1 Story,1232,Yes
2533,Crawfor,224000,1 Story,1640,Yes
2534,Sawyer,145000,1 Story,992,No
2535,NridgHt,202500,1 Story,1370,Yes
2536,NoRidge,248000,2 Story,1850,Yes
2537,Sawyer,160250,Other,1373,Yes
2538,BrkSide,82500,1 Story,708,No
2539,ClearCr,240000,2 Story,1953,Yes
2540,NAmes,187000,2 Story,1851,Yes
2541,SawyerW,207000,2 Story,1873,Yes
2542,NoRidge,263550,2 Story,2232,Yes
2543,Gilbert,185000,2 Story,1709,No
2544,Sawyer,153600,1 Story,1064,Yes
2545,Mitchel,166500,1 Story,1344,Yes
2546,IDOTRR,78000,Other,936,No
2547,OldTown,168000,2 Story,1742,Yes
2548,CollgCr,227000,1 Story,1573,No
2549,Gilbert,181316,2 Story,1516,Yes
2550,BrkSide,87000,1 Story,765,No
2551,CollgCr,186500,1 Story,1445,No
2552,StoneBr,457347,2 Story,2798,Yes
2553,IDOTRR,85000,Other,1526,No
2554,ClearCr,192000,2 Story,2022,Yes
2555,Sawyer,142500,1 Story,1059,No
2556,NoRidge,333168,2 Story,2599,Yes
2557,Mitchel,142500,Other,1003,No
2558,Gilbert,189000,2 Story,1804,Yes
2559,OldTown,200000,2 Story,2264,No
2560,NAmes,116000,1 Story,922,No
2561,CollgCr,127000,1 Story,876,No
2562,NWAmes,220000,1 Story,1782,Yes
2563,NAmes,141500,1 Story,1496,No
2564,NAmes,109900,1 Story,1040,No
2565,BrkSide,223500,2 Story,1576,Yes
2566,Mitchel,128500,1 Story,816,No
2567,Gilbert,175000,Other,1374,Yes
2568,Sawyer,134000,1 Story,1211,Yes
2569,NAmes,137000,1 Story,1008,Yes
2570,OldTown,89500,1 Story,1022,Yes
2571,NAmes,140000,Other,898,No
2572,SWISU,128000,2 Story,1647,No
